OrderID,OrderDate,ShipDate,DeliveryDate,Year,Quarter,Month,MonthName,WeekNumber,DayOfWeek,CustomerID,CustomerName,Segment,Region,Country,SalesChannel,ProductID,Category,SubCategory,UnitPrice,Quantity,Discount,GrossSales,DiscountAmount,NetSales,COGS,GrossProfit,ProfitMargin,ShippingCost,Tax,TotalRevenue,PaymentMethod,ShipMode,OrderStatus,IsReturned,ReturnReason,CustomerRating,EmployeeID,EmployeeName,Department,ManagerID,EmployeeAge,ExperienceYears,EmployeeSalary,CostRatio
ORD-000011,2021-01-13,2021-01-19,2021-01-20,2021,Q1,1,January,2,Wednesday,CUST-00387,Morgan Wilson,SMB,West,UK,Online,PROD-00158,Clothing,Formal,46.07,23,0.0,1059.61,0.0,1059.61,466.23,593.38,56.0,69.07,84.77,1144.38,Credit Card,Standard,Completed,No,,4.7,EMP0035,Ian Perez,Operations,EMP0005,29,20,137256.0,0.44
ORD-000012,2021-01-15,2021-01-20,2021-01-26,2021,Q1,1,January,2,Friday,CUST-00370,Alex Miller,Non-Profit,East,Japan,Retail Store,PROD-00218,Electronics,Accessories,1939.97,26,0.0,50439.22,0.0,50439.22,33794.28,16644.94,33.0,28.69,4035.14,54474.36,PayPal,Same Day,Cancelled,No,,4.2,EMP0030,Diana Adams,HR,EMP0006,61,7,112694.0,0.67
ORD-000013,2021-01-17,2021-01-24,2021-01-26,2021,Q1,1,January,2,Sunday,CUST-00393,Taylor Jones,SMB,South,France,Online,PROD-00289,Clothing,Men,1665.72,34,0.0,56634.48,0.0,56634.48,30582.62,26051.86,46.0,31.75,4530.76,61165.24,Bank Transfer,Same Day,Processing,No,,4.7,EMP0022,Victor Young,HR,EMP0004,43,33,63713.0,0.54
ORD-000014,2021-01-17,2021-01-19,2021-01-22,2021,Q1,1,January,2,Sunday,CUST-00338,Jordan Johnson,Non-Profit,East,Australia,Wholesale,PROD-00202,Sports,Fitness,428.62,46,0.0,19716.52,0.0,19716.52,12421.41,7295.11,37.0,34.33,1577.32,21293.84,Cash,Standard,Processing,No,,4.9,EMP0007,Grace Kim,Marketing,EMP0005,43,9,100962.0,0.63
ORD-000015,2021-01-20,2021-01-21,2021-01-22,2021,Q1,1,January,3,Wednesday,CUST-00349,Jordan Moore,Consumer,North,Germany,Online,PROD-00214,Furniture,Kitchen,367.74,34,0.15,12503.16,1875.47,10627.69,5207.57,5420.12,51.0,61.07,850.22,11477.91,Credit Card,Same Day,Completed,No,,1.0,EMP0004,David Brown,IT,EMP0006,37,23,143472.0,0.49
ORD-000016,2021-01-20,2021-01-26,2021-02-01,2021,Q1,1,January,3,Wednesday,CUST-00071,Riley Miller,Enterprise,West,Germany,Retail Store,PROD-00003,Furniture,Kitchen,370.89,29,0.0,10755.81,0.0,10755.81,4947.67,5808.14,54.0,12.42,860.46,11616.27,Bank Transfer,Express,Returned,Yes,Changed Mind,3.5,EMP0040,Nancy Parker,Logistics,EMP0004,48,23,118135.0,0.46
ORD-000017,2021-01-20,2021-01-25,2021-01-28,2021,Q1,1,January,3,Wednesday,CUST-00322,Jordan Garcia,Consumer,West,Australia,Wholesale,PROD-00207,Books,Education,611.96,4,0.05,2447.84,122.39,2325.45,1069.71,1255.74,54.0,62.68,186.04,2511.49,Bank Transfer,Express,Completed,No,,2.7,EMP0030,Diana Adams,HR,EMP0006,31,31,114289.0,0.46
ORD-000018,2021-01-21,2021-01-23,2021-01-28,2021,Q1,1,January,3,Thursday,CUST-00050,Riley Wilson,Consumer,Central,USA,Retail Store,PROD-00029,Beauty,Personal Care,1051.89,17,0.0,17882.13,0.0,17882.13,7510.49,10371.64,58.0,79.2,1430.57,19312.7,PayPal,Standard,Completed,No,,4.4,EMP0039,Mike Campbell,Logistics,EMP0009,46,32,146338.0,0.42
ORD-000019,2021-01-24,2021-01-30,2021-01-31,2021,Q1,1,January,3,Sunday,CUST-00322,Jordan Garcia,Consumer,East,USA,Retail Store,PROD-00210,Automotive,Care Products,866.73,35,0.2,30335.55,6067.11,24268.44,11163.48,13104.96,54.0,75.08,1941.48,26209.92,PayPal,Standard,Completed,No,,2.0,EMP0011,Karen Anderson,IT,EMP0002,52,33,126870.0,0.46
ORD-000020,2021-01-26,2021-01-30,2021-02-03,2021,Q1,1,January,4,Tuesday,CUST-00331,Riley Johnson,Government,Central,UK,Partner,PROD-00182,Books,Non-Fiction,586.0,13,0.0,7618.0,0.0,7618.0,4799.34,2818.66,37.0,60.5,609.44,8227.44,Bank Transfer,Economy,Completed,No,,4.9,EMP0005,Eva Martinez,Operations,EMP0006,42,10,50712.0,0.63
ORD-000021,2021-01-26,2021-01-30,2021-02-04,2021,Q1,1,January,4,Tuesday,CUST-00021,Jamie Davis,Government,West,USA,Wholesale,PROD-00072,Food & Beverage,Bakery,1225.65,41,0.05,50251.65,2512.58,47739.07,33894.74,13844.33,29.0,126.68,3819.13,51558.2,Credit Card,Standard,Processing,No,,3.5,EMP0023,Wendy Hernandez,HR,EMP0005,48,30,74978.0,0.71
ORD-000022,2021-01-29,2021-02-03,2021-02-08,2021,Q1,1,January,4,Friday,CUST-00159,Avery Davis,Non-Profit,South,Australia,Partner,PROD-00234,Beauty,Makeup,283.29,39,0.2,11048.31,2209.66,8838.65,6010.28,2828.37,32.0,26.07,707.09,9545.74,Bank Transfer,Express,Pending,No,,4.2,EMP0041,Oscar Evans,Marketing,EMP0003,38,17,145991.0,0.68
ORD-000023,2021-01-29,2021-02-05,2021-02-08,2021,Q1,1,January,4,Friday,CUST-00226,Jordan Wilson,Enterprise,Central,UK,Partner,PROD-00141,Electronics,Tablets,587.83,15,0.15,8817.45,1322.62,7494.83,4796.69,2698.14,36.0,78.33,599.59,8094.42,Debit Card,Standard,Completed,No,,1.3,EMP0036,Julia Roberts,Logistics,EMP0002,54,22,91316.0,0.64
ORD-000024,2021-01-31,2021-02-02,2021-02-07,2021,Q1,1,January,4,Sunday,CUST-00018,Riley Wilson,Government,South,UK,Retail Store,PROD-00010,Books,Fiction,735.89,29,0.0,21340.81,0.0,21340.81,9389.96,11950.85,56.0,14.0,1707.26,23048.07,Cash,Express,Completed,No,,1.7,EMP0015,Olivia Martin,HR,EMP0005,52,21,47838.0,0.44
ORD-000025,2021-02-01,2021-02-05,2021-02-07,2021,Q1,2,February,5,Monday,CUST-00297,Riley Wilson,Non-Profit,Central,UK,Partner,PROD-00104,Clothing,Women,914.86,29,0.15,26530.94,3979.64,22551.3,11275.65,11275.65,50.0,15.32,1804.1,24355.4,Debit Card,Economy,Completed,No,,4.0,EMP0023,Wendy Hernandez,HR,EMP0005,47,17,87740.0,0.5
ORD-000026,2021-02-05,2021-02-10,2021-02-11,2021,Q1,2,February,5,Friday,CUST-00187,Alex Miller,SMB,East,Canada,Online,PROD-00107,Sports,Water Sports,1571.43,11,0.05,17285.73,864.29,16421.44,8374.93,8046.51,49.0,88.21,1313.72,17735.16,Cash,Economy,Returned,Yes,Changed Mind,1.1,EMP0041,Oscar Evans,Marketing,EMP0003,42,19,115154.0,0.51
ORD-000027,2021-02-09,2021-02-13,2021-02-15,2021,Q1,2,February,6,Tuesday,CUST-00375,Morgan Jones,Government,East,India,Partner,PROD-00132,Automotive,Tools,403.35,32,0.05,12907.2,645.36,12261.84,6008.3,6253.54,51.0,87.07,980.95,13242.79,Debit Card,Express,Completed,No,,4.3,EMP0001,Alice Johnson,IT,EMP0002,57,12,149718.0,0.49
ORD-000028,2021-02-09,2021-02-13,2021-02-16,2021,Q1,2,February,6,Tuesday,CUST-00068,Avery Jones,SMB,West,Canada,Partner,PROD-00151,Clothing,Formal,1030.9,2,0.0,2061.8,0.0,2061.8,1195.84,865.96,42.0,132.31,164.94,2226.74,Debit Card,Economy,Completed,No,,1.1,EMP0013,Mia Jackson,HR,EMP0002,22,0,72249.0,0.58
ORD-000029,2021-02-10,2021-02-16,2021-02-22,2021,Q1,2,February,6,Wednesday,CUST-00047,Dakota Garcia,SMB,East,UK,Retail Store,PROD-00192,Clothing,Formal,1186.87,47,0.0,55782.89,0.0,55782.89,32911.91,22870.98,41.0,85.89,4462.63,60245.52,PayPal,Standard,Completed,No,,3.6,EMP0018,Rachel Lewis,Sales,EMP0010,25,3,94120.0,0.59
ORD-000030,2021-02-11,2021-02-17,2021-02-20,2021,Q1,2,February,6,Thursday,CUST-00152,Taylor Moore,SMB,Central,Canada,Direct Sales,PROD-00013,Food & Beverage,Frozen,97.67,14,0.1,1367.38,136.74,1230.64,639.93,590.71,48.0,144.17,98.45,1329.09,Credit Card,Same Day,Completed,No,,2.5,EMP0019,Sam Walker,Sales,EMP0004,25,23,136163.0,0.52
ORD-000031,2021-02-12,2021-02-16,2021-02-17,2021,Q1,2,February,6,Friday,CUST-00168,Alex Jones,Government,Central,Germany,Online,PROD-00165,Beauty,Fragrance,1217.05,20,0.05,24341.0,1217.05,23123.95,12024.45,11099.5,48.0,12.06,1849.92,24973.87,PayPal,Express,Completed,No,,3.4,EMP0028,Beth Scott,IT,EMP0005,47,1,75856.0,0.52
ORD-000032,2021-02-13,2021-02-16,2021-02-21,2021,Q1,2,February,6,Saturday,CUST-00383,Casey Miller,SMB,South,Germany,Retail Store,PROD-00219,Sports,Team Sports,345.2,22,0.05,7594.4,379.72,7214.68,4978.13,2236.55,31.0,19.21,577.17,7791.85,Debit Card,Same Day,Pending,No,,3.8,EMP0038,Laura Phillips,Sales,EMP0003,25,27,47565.0,0.69
ORD-000033,2021-02-14,2021-02-20,2021-02-24,2021,Q1,2,February,6,Sunday,CUST-00213,Morgan Jones,Non-Profit,North,Japan,Direct Sales,PROD-00196,Beauty,Fragrance,134.78,11,0.1,1482.58,148.26,1334.32,907.34,426.98,32.0,11.39,106.75,1441.07,Bank Transfer,Same Day,Completed,No,,2.4,EMP0047,Umar Rogers,Marketing,EMP0006,30,25,144128.0,0.68
ORD-000034,2021-02-18,2021-02-20,2021-02-23,2021,Q1,2,February,7,Thursday,CUST-00090,Riley Davis,Non-Profit,Central,UK,Online,PROD-00167,Books,Fiction,1898.03,27,0.15,51246.81,7687.02,43559.79,22215.49,21344.3,49.0,31.87,3484.78,47044.57,Debit Card,Economy,Completed,No,,1.4,EMP0020,Tina Hall,Marketing,EMP0002,51,22,91171.0,0.51
ORD-000035,2021-02-20,2021-02-25,2021-02-26,2021,Q1,2,February,7,Saturday,CUST-00103,Jordan Garcia,Non-Profit,South,Japan,Wholesale,PROD-00286,Furniture,Living Room,1931.44,3,0.0,5794.32,0.0,5794.32,4171.91,1622.41,28.0,83.48,463.55,6257.87,Bank Transfer,Express,Completed,No,,1.3,EMP0024,Xander King,Sales,EMP0002,25,14,92820.0,0.72
ORD-000036,2021-02-20,2021-02-25,2021-03-01,2021,Q1,2,February,7,Saturday,CUST-00068,Avery Jones,Government,West,Germany,Online,PROD-00287,Books,Non-Fiction,1617.75,17,0.1,27501.75,2750.18,24751.57,18068.65,6682.92,27.0,98.61,1980.13,26731.7,Credit Card,Standard,Completed,No,,3.4,EMP0040,Nancy Parker,Logistics,EMP0004,26,26,106438.0,0.73
ORD-000037,2021-02-22,2021-03-01,2021-03-06,2021,Q1,2,February,8,Monday,CUST-00277,Alex Smith,Government,East,India,Wholesale,PROD-00103,Beauty,Skincare,612.7,44,0.0,26958.8,0.0,26958.8,13748.99,13209.81,49.0,11.61,2156.7,29115.5,Cash,Express,Processing,No,,3.1,EMP0050,Xena Morgan,Sales,EMP0001,44,5,35407.0,0.51
ORD-000038,2021-02-22,2021-02-24,2021-03-02,2021,Q1,2,February,8,Monday,CUST-00188,Quinn Smith,Consumer,East,France,Online,PROD-00111,Books,Education,199.86,28,0.15,5596.08,839.41,4756.67,2473.47,2283.2,48.0,142.17,380.53,5137.2,Cash,Express,Completed,No,,4.0,EMP0026,Zoe Lopez,Marketing,EMP0002,37,34,142080.0,0.52
ORD-000039,2021-02-25,2021-02-27,2021-03-02,2021,Q1,2,February,8,Thursday,CUST-00272,Alex Brown,Enterprise,Central,Germany,Direct Sales,PROD-00258,Clothing,Kids,1370.04,29,0.1,39731.16,3973.12,35758.04,20739.66,15018.38,42.0,127.11,2860.64,38618.68,Debit Card,Same Day,Completed,No,,3.0,EMP0017,Quinn Rodriguez,Sales,EMP0006,43,34,76567.0,0.58
ORD-000040,2021-02-25,2021-02-27,2021-03-05,2021,Q1,2,February,8,Thursday,CUST-00257,Taylor Miller,Consumer,East,Canada,Wholesale,PROD-00226,Books,Education,883.1,21,0.25,18545.1,4636.27,13908.83,10153.45,3755.38,27.0,48.01,1112.71,15021.54,Debit Card,Economy,Completed,No,,2.7,EMP0036,Julia Roberts,Logistics,EMP0002,58,9,80647.0,0.73
ORD-000041,2021-02-26,2021-03-05,2021-03-06,2021,Q1,2,February,8,Friday,CUST-00140,Avery Brown,SMB,West,UK,Partner,PROD-00141,Books,Comics,248.47,47,0.0,11678.09,0.0,11678.09,8291.44,3386.65,29.0,16.19,934.25,12612.34,Cash,Economy,Completed,No,,2.6,EMP0035,Ian Perez,Operations,EMP0005,29,29,55023.0,0.71
ORD-000042,2021-02-28,2021-03-02,2021-03-08,2021,Q1,2,February,8,Sunday,CUST-00085,Alex Johnson,Government,North,Germany,Online,PROD-00055,Beauty,Personal Care,992.88,16,0.0,15886.08,0.0,15886.08,6989.88,8896.2,56.0,29.63,1270.89,17156.97,Debit Card,Express,Completed,No,,1.1,EMP0042,Patricia Edwards,IT,EMP0008,54,28,78487.0,0.44
ORD-000043,2021-03-01,2021-03-02,2021-03-08,2021,Q1,3,March,9,Monday,CUST-00132,Casey Johnson,Government,Central,USA,Wholesale,PROD-00039,Clothing,Kids,73.61,37,0.0,2723.57,0.0,2723.57,1470.73,1252.84,46.0,23.41,217.89,2941.46,Debit Card,Economy,Completed,No,,2.3,EMP0043,Quincy Collins,Finance,EMP0007,59,3,127454.0,0.54
ORD-000044,2021-03-01,2021-03-08,2021-03-09,2021,Q1,3,March,9,Monday,CUST-00247,Dakota Garcia,SMB,West,India,Retail Store,PROD-00125,Sports,Fitness,1819.09,20,0.0,36381.8,0.0,36381.8,21465.26,14916.54,41.0,22.88,2910.54,39292.34,Credit Card,Express,Completed,No,,4.9,EMP0013,Mia Jackson,HR,EMP0002,37,4,126999.0,0.59
ORD-000045,2021-03-01,2021-03-06,2021-03-07,2021,Q1,3,March,9,Monday,CUST-00152,Taylor Moore,Government,South,India,Online,PROD-00083,Electronics,Laptops,521.27,6,0.0,3127.62,0.0,3127.62,1814.02,1313.6,42.0,80.19,250.21,3377.83,Debit Card,Standard,Completed,No,,4.5,EMP0005,Eva Martinez,Operations,EMP0006,26,3,142617.0,0.58
ORD-000046,2021-03-05,2021-03-06,2021-03-09,2021,Q1,3,March,9,Friday,CUST-00383,Casey Miller,Government,North,France,Online,PROD-00167,Clothing,Women,1326.73,19,0.2,25207.87,5041.57,20166.3,9478.16,10688.14,53.0,40.65,1613.3,21779.6,Bank Transfer,Same Day,Completed,No,,2.3,EMP0038,Laura Phillips,Sales,EMP0003,37,15,81371.0,0.47
ORD-000047,2021-03-06,2021-03-13,2021-03-19,2021,Q1,3,March,9,Saturday,CUST-00174,Avery Williams,Non-Profit,Central,USA,Direct Sales,PROD-00246,Electronics,Cameras,626.86,5,0.0,3134.3,0.0,3134.3,2194.01,940.29,30.0,56.93,250.74,3385.04,Credit Card,Economy,Completed,No,,3.4,EMP0010,Jack Taylor,Sales,EMP0009,28,24,116503.0,0.7
ORD-000048,2021-03-08,2021-03-12,2021-03-16,2021,Q1,3,March,10,Monday,CUST-00059,Avery Garcia,Enterprise,East,Germany,Direct Sales,PROD-00241,Beauty,Haircare,1042.54,3,0.0,3127.62,0.0,3127.62,2001.68,1125.94,36.0,148.48,250.21,3377.83,PayPal,Express,Completed,No,,4.4,EMP0007,Grace Kim,Marketing,EMP0005,22,13,93332.0,0.64
ORD-000049,2021-03-15,2021-03-19,2021-03-20,2021,Q1,3,March,11,Monday,CUST-00240,Avery Garcia,Consumer,Central,Germany,Direct Sales,PROD-00024,Clothing,Sportswear,1095.69,1,0.15,1095.69,164.35,931.34,642.62,288.72,31.0,104.23,74.51,1005.85,Debit Card,Same Day,Completed,No,,2.8,EMP0047,Umar Rogers,Marketing,EMP0006,30,10,127463.0,0.69
ORD-000050,2021-03-15,2021-03-20,2021-03-25,2021,Q1,3,March,11,Monday,CUST-00039,Quinn Brown,SMB,South,Canada,Wholesale,PROD-00200,Food & Beverage,Beverages,373.78,38,0.05,14203.64,710.18,13493.46,9445.42,4048.04,30.0,142.6,1079.48,14572.94,Debit Card,Standard,Cancelled,No,,1.1,EMP0014,Nathan Harris,Sales,EMP0009,39,28,116942.0,0.7
ORD-000051,2021-03-17,2021-03-21,2021-03-27,2021,Q1,3,March,11,Wednesday,CUST-00073,Casey Smith,Non-Profit,East,Japan,Partner,PROD-00250,Furniture,Office,1939.32,15,0.15,29089.8,4363.47,24726.33,16319.38,8406.95,34.0,25.67,1978.11,26704.44,Bank Transfer,Express,Pending,No,,1.3,EMP0018,Rachel Lewis,Sales,EMP0010,24,33,77309.0,0.66
ORD-000052,2021-03-17,2021-03-19,2021-03-20,2021,Q1,3,March,11,Wednesday,CUST-00387,Morgan Wilson,SMB,North,UK,Online,PROD-00128,Food & Beverage,Frozen,1551.39,34,0.0,52747.26,0.0,52747.26,29010.99,23736.27,45.0,60.41,4219.78,56967.04,Credit Card,Economy,Completed,No,,3.0,EMP0012,Leo Thomas,IT,EMP0007,45,21,73717.0,0.55
ORD-000053,2021-03-20,2021-03-27,2021-03-31,2021,Q1,3,March,11,Saturday,CUST-00116,Riley Wilson,Consumer,Central,Japan,Wholesale,PROD-00144,Food & Beverage,Snacks,1879.3,35,0.05,65775.5,3288.78,62486.72,38116.9,24369.82,39.0,85.44,4998.94,67485.66,Cash,Standard,Completed,No,,4.9,EMP0017,Quinn Rodriguez,Sales,EMP0006,49,13,64031.0,0.61
ORD-000054,2021-03-21,2021-03-22,2021-03-25,2021,Q1,3,March,11,Sunday,CUST-00347,Alex Johnson,Enterprise,West,Australia,Online,PROD-00193,Beauty,Haircare,1790.18,49,0.0,87718.82,0.0,87718.82,40350.66,47368.16,54.0,16.13,7017.51,94736.33,Debit Card,Standard,Completed,No,,3.8,EMP0037,Kevin Turner,Logistics,EMP0010,31,23,101299.0,0.46
ORD-000055,2021-03-23,2021-03-25,2021-03-31,2021,Q1,3,March,12,Tuesday,CUST-00371,Jamie Moore,Government,South,India,Partner,PROD-00031,Automotive,Parts,1197.81,25,0.0,29945.25,0.0,29945.25,19164.96,10780.29,36.0,5.61,2395.62,32340.87,Credit Card,Express,Completed,No,,1.3,EMP0007,Grace Kim,Marketing,EMP0005,30,25,145842.0,0.64
ORD-000056,2021-03-23,2021-03-27,2021-03-28,2021,Q1,3,March,12,Tuesday,CUST-00346,Riley Johnson,Consumer,Central,Canada,Direct Sales,PROD-00052,Books,Children,1844.14,24,0.2,44259.36,8851.87,35407.49,16287.45,19120.04,54.0,102.21,2832.6,38240.09,Credit Card,Standard,Returned,Yes,Defective,1.8,EMP0009,Iris Wilson,IT,EMP0008,34,15,58008.0,0.46
ORD-000057,2021-03-23,2021-03-29,2021-03-30,2021,Q1,3,March,12,Tuesday,CUST-00204,Taylor Miller,Consumer,West,Japan,Wholesale,PROD-00029,Furniture,Bedroom,181.54,12,0.0,2178.48,0.0,2178.48,1394.23,784.25,36.0,98.06,174.28,2352.76,Bank Transfer,Economy,Completed,No,,4.1,EMP0034,Hannah Mitchell,HR,EMP0004,56,31,45954.0,0.64
ORD-000058,2021-03-24,2021-03-25,2021-03-30,2021,Q1,3,March,12,Wednesday,CUST-00286,Morgan Brown,SMB,Central,UK,Partner,PROD-00176,Automotive,Electronics,395.99,18,0.05,7127.82,356.39,6771.43,3250.29,3521.14,52.0,,541.71,7313.14,Bank Transfer,Express,Completed,No,,4.4,EMP0038,Laura Phillips,Sales,EMP0003,44,5,48731.0,0.48
ORD-000059,2021-03-24,2021-03-26,2021-03-31,2021,Q1,3,March,12,Wednesday,CUST-00188,Quinn Smith,Government,South,Canada,Retail Store,PROD-00142,Food & Beverage,Snacks,95.23,15,0.05,1428.45,71.42,1357.03,597.09,759.94,56.0,76.0,108.56,1465.59,Cash,Same Day,Cancelled,No,,3.5,EMP0042,Patricia Edwards,IT,EMP0008,38,33,125056.0,0.44
ORD-000060,2021-03-26,2021-04-02,2021-04-08,2021,Q1,3,March,12,Friday,CUST-00047,Dakota Garcia,Government,Central,India,Retail Store,PROD-00276,Food & Beverage,Dairy,654.03,44,0.0,28777.32,0.0,28777.32,13237.57,15539.75,54.0,65.24,2302.19,31079.51,PayPal,Standard,Cancelled,No,,3.6,EMP0050,Xena Morgan,Sales,EMP0001,28,7,75262.0,0.46
ORD-000061,2021-03-27,2021-04-01,2021-04-02,2021,Q1,3,March,12,Saturday,CUST-00203,Morgan Wilson,Government,East,Australia,Online,PROD-00190,Automotive,Parts,780.41,16,0.2,12486.56,2497.31,9989.25,3995.7,5993.55,60.0,8.48,799.14,10788.39,Debit Card,Economy,Completed,No,,1.1,EMP0025,Yara Wright,HR,EMP0004,37,29,60802.0,0.4
ORD-000062,2021-03-31,2021-04-02,2021-04-08,2021,Q1,3,March,13,Wednesday,CUST-00008,Jordan Miller,Non-Profit,East,UK,Wholesale,PROD-00225,Automotive,Electronics,546.34,27,0.0,14751.18,0.0,14751.18,9588.27,5162.91,35.0,53.63,1180.09,15931.27,Debit Card,Economy,Completed,No,,4.3,EMP0022,Victor Young,HR,EMP0004,61,26,75577.0,0.65
ORD-000063,2021-04-01,2021-04-07,2021-04-08,2021,Q2,4,April,13,Thursday,CUST-00136,Dakota Williams,Consumer,West,Japan,Wholesale,PROD-00146,Electronics,Laptops,1658.33,8,0.1,13266.64,1326.66,11939.98,7880.39,4059.59,34.0,30.68,955.2,12895.18,PayPal,Same Day,Completed,No,,4.2,EMP0037,Kevin Turner,Logistics,EMP0010,57,6,109213.0,0.66
ORD-000064,2021-04-01,2021-04-05,2021-04-10,2021,Q2,4,April,13,Thursday,CUST-00275,Quinn Moore,Consumer,East,Germany,Online,PROD-00057,Furniture,Kitchen,716.72,46,0.25,32969.12,8242.28,24726.84,14341.57,10385.27,42.0,19.27,1978.15,26704.99,Bank Transfer,Same Day,Completed,No,,2.0,EMP0050,Xena Morgan,Sales,EMP0001,41,26,97881.0,0.58
ORD-000065,2021-04-04,2021-04-05,2021-04-09,2021,Q2,4,April,13,Sunday,CUST-00064,Taylor Jones,Non-Profit,North,UK,Online,PROD-00242,Books,Fiction,565.46,25,0.1,14136.5,1413.65,12722.85,5852.51,6870.34,54.0,143.72,1017.83,13740.68,Bank Transfer,Standard,Pending,No,,3.8,EMP0038,Laura Phillips,Sales,EMP0003,45,24,120513.0,0.46
ORD-000066,2021-04-05,2021-04-10,2021-04-12,2021,Q2,4,April,14,Monday,CUST-00233,Dakota Brown,Enterprise,North,USA,Partner,PROD-00069,Automotive,Electronics,1087.68,17,0.2,18490.56,3698.11,14792.45,6360.75,8431.7,57.0,91.91,1183.4,15975.85,Credit Card,Standard,Returned,Yes,,1.9,EMP0039,Mike Campbell,Logistics,EMP0009,26,14,73994.0,0.43
